group_num,email,sid,first_name,last_name,year,want_group,is_existing,timezone,disc_with_group,disc_times_options,groupmember2,groupmember3,groupmember4,groupmember5,groupmember6,remote,race,gender
0,nancy86@example.com,60,Aaron,Gomez,1,True,False,1,False,"[6, 4]",,,,,,True,0,1
0,ncruz@example.org,76,Christine,Morris,1,True,False,1,False,"[6, 1]",,,,,,True,0,1
0,oreeves@example.com,65,Aaron,Black,1,True,False,1,False,"[1, 4]",,,,,,True,0,1
0,clarkharry@example.com,99,Felicia,Freeman,1,True,False,1,False,"[6, 1, 4]",,,,,,True,3,1
1,hgrimes@example.com,90,Charles,George,1,True,False,1,False,"[5, 6, 1, 4]",,,,,,True,3,1
1,qdillon@example.com,94,Lisa,Burns,1,True,False,1,False,"[5, 6, 1]",,,,,,True,3,1
1,stevenramirez@example.net,97,Joseph,Johnson,1,True,False,1,False,"[5, 1, 4]",,,,,,True,3,1
2,tonyahernandez@example.org,79,Angela,Farley,1,True,False,1,False,"[5, 6, 4]",,,,,,True,0,1
2,seth66@example.net,73,Bradley,Davis,1,True,False,1,False,"[5, 6, 1, 4]",,,,,,True,0,1
2,jamesmccormick@example.com,78,Charles,Hall,1,True,False,1,False,"[5, 6, 1, 4]",,,,,,True,0,1
2,rrobinson@example.com,63,Michael,Cohen,1,True,False,1,False,"[5, 1, 4]",,,,,,True,0,1
3,michaelmann@example.com,89,Joshua,Foley,1,True,False,1,False,"[5, 3, 4]",,,,,,True,0,1
3,sabrinalarson@example.com,68,Jason,Paul,1,True,False,1,False,"[5, 1, 3]",,,,,,True,0,1
3,ostout@example.net,62,Amanda,Jensen,1,True,False,1,False,"[6, 1, 3]",,,,,,True,0,1
3,crystalbriggs@example.org,71,Traci,Shaw,1,True,False,1,False,"[5, 6, 3]",,,,,,True,0,1
4,murphyjessica@example.org,66,Willie,Richard,1,True,False,1,False,"[6, 1, 3, 4]",,,,,,True,0,1
4,thomas57@example.org,77,Kenneth,Mann,1,True,False,1,False,"[5, 6, 1, 3]",,,,,,True,0,1
