group_num,email,sid,first_name,last_name,year,want_group,is_existing,timezone,disc_with_group,disc_times_options,groupmember2,groupmember3,groupmember4,groupmember5,groupmember6,remote,race,gender
0,dwinters@example.net,69,Aaron,Johnson,1,True,False,1,False,"[6, 2, 4]",,,,,,True,0,1
0,ashleyellis@example.net,87,Loretta,Gutierrez,1,True,False,1,False,"[2, 4]",,,,,,True,0,1
0,mercadocrystal@example.com,61,Carrie,Serrano,1,True,False,1,False,"[6, 2, 4]",,,,,,True,0,1
0,alyssa07@example.org,70,Hannah,Campos,1,True,False,1,False,"[6, 2]",,,,,,True,0,1
0,lorilong@example.net,89,Victoria,Bowen,1,True,False,1,False,"[6, 2]",,,,,,True,0,1
0,wruiz@example.org,93,Michelle,Ward,1,True,False,1,False,"[6, 2, 4]",,,,,,True,3,1
1,cathyowen@example.org,66,Derek,Smith,1,True,False,1,False,"[6, 2, 3, 4]",,,,,,True,0,1
1,desiree90@example.net,81,Bridget,Yoder,1,True,False,1,False,"[3, 4]",,,,,,True,0,1
1,kathryn52@example.com,79,Daniel,Nguyen,1,True,False,1,False,"[2, 3, 4]",,,,,,True,0,1
1,jeffwashington@example.net,68,Robert,Hunter,1,True,False,1,False,"[6, 2, 3, 4]",,,,,,True,0,1
2,gina19@example.net,82,Luis,Mitchell,1,True,False,1,False,"[3, 4]",,,,,,True,0,1
2,antoniobryant@example.net,74,Tara,Gonzalez,1,True,False,1,False,"[3, 4]",,,,,,True,0,1
2,donna57@example.com,98,Anthony,Hall,1,True,False,1,False,"[3, 4]",,,,,,True,3,1
3,paulapeters@example.net,91,John,Christian,1,True,False,1,False,"[6, 1, 3]",,,,,,True,3,1
3,suttonkathryn@example.org,99,Stephen,Lang,1,True,False,1,False,"[1, 2, 4]",,,,,,True,3,1
3,jason60@example.com,78,Veronica,Miller,1,True,False,1,False,"[1, 3, 4]",,,,,,True,0,1
3,kellylee@example.net,72,Tyler,Hernandez,1,True,False,1,False,"[6, 1]",,,,,,True,0,1
3,bryanmorse@example.org,62,Stephen,Reyes,1,True,False,1,False,"[6, 1, 2, 4]",,,,,,True,0,1
