group_num,email,sid,first_name,last_name,year,want_group,is_existing,timezone,disc_with_group,disc_times_options,groupmember2,groupmember3,groupmember4,groupmember5,groupmember6,remote,race,gender
0,sgarcia@example.org,84,Edwin,Diaz,1,True,False,1,False,"[5, 1, 2]",,,,,,True,0,1
0,anapaul@example.net,68,Lawrence,Carlson,1,True,False,1,False,"[5, 2]",,,,,,True,0,1
0,pchambers@example.net,66,David,Ramirez,1,True,False,1,False,"[5, 1, 2]",,,,,,True,0,1
0,joshua89@example.org,89,Maureen,Williamson,1,True,False,1,False,"[1, 2]",,,,,,True,0,1
0,stacey51@example.org,91,Diana,Shaw,1,True,False,1,False,"[5, 1, 2]",,,,,,True,3,1
0,zwhite@example.com,94,Karen,Sampson,1,True,False,1,False,"[5, 1]",,,,,,True,3,1
1,riggsmatthew@example.com,60,Gregory,Benson,1,True,False,1,False,"[1, 2, 3]",,,,,,True,0,1
1,nbaldwin@example.net,77,Kathleen,Gonzalez,1,True,False,1,False,"[1, 2, 3]",,,,,,True,0,1
1,brian61@example.com,62,Brett,Cummings,1,True,False,1,False,"[5, 2, 3]",,,,,,True,0,1
1,twise@example.org,76,Patrick,Hansen,1,True,False,1,False,"[5, 2, 3]",,,,,,True,0,1
1,medinamaria@example.org,71,Kimberly,Wilson,1,True,False,1,False,"[1, 2, 3]",,,,,,True,0,1
1,tsummers@example.com,96,Raymond,Wagner,1,True,False,1,False,"[2, 3]",,,,,,True,3,1
2,victoria46@example.org,72,Rebecca,Mcclure,1,True,False,1,False,"[5, 1, 2, 3, 4]",,,,,,True,0,1
2,brandon37@example.org,81,Katrina,Alexander,1,True,False,1,False,"[5, 1, 4]",,,,,,True,0,1
2,hcooper@example.org,97,Carla,Kelley,1,True,False,1,False,"[1, 3, 4]",,,,,,True,3,1
2,shannonsmith@example.net,92,Michael,Schultz,1,True,False,1,False,"[1, 4]",,,,,,True,3,1
3,tracy37@example.com,75,Sharon,Chavez,1,True,False,1,False,"[1, 4]",,,,,,True,0,1
3,millsjeffrey@example.org,69,Sara,Davis,1,True,False,1,False,"[5, 1, 3, 4]",,,,,,True,0,1
3,james32@example.net,99,Ronald,Barrett,1,True,False,1,False,"[1, 3, 4]",,,,,,True,3,1
3,thomas00@example.com,95,Nicole,Smith,1,True,False,1,False,"[1, 2, 3, 4]",,,,,,True,3,1
3,licandice@example.com,70,Eric,Jones,1,True,False,1,False,"[5, 4]",,,,,,True,0,1
