group_num,email,sid,first_name,last_name,year,want_group,is_existing,timezone,disc_with_group,disc_times_options,groupmember2,groupmember3,groupmember4,groupmember5,groupmember6,remote,race,gender
0,hoffmaneric@example.com,90,Peter,Horn,1,True,False,1,False,"[5, 2, 3]",,,,,,True,3,1
0,xtrujillo@example.com,98,Gary,Little,1,True,False,1,False,"[5, 3]",,,,,,True,3,1
0,lewistina@example.org,84,Megan,Taylor,1,True,False,1,False,"[5, 2, 3]",,,,,,True,0,1
0,david52@example.com,87,Brooke,Jones,1,True,False,1,False,[2],,,,,,True,0,1
0,danielzachary@example.net,74,Megan,Blankenship,1,True,False,1,False,"[5, 3]",,,,,,True,0,1
0,ashleywhite@example.com,82,Brian,Hernandez,1,True,False,1,False,"[5, 3]",,,,,,True,0,1
1,margaret90@example.com,86,Mark,Nelson,1,True,False,1,False,"[5, 1]",,,,,,True,0,1
1,icarter@example.net,81,Morgan,Carter,1,True,False,1,False,"[5, 1, 2, 3]",,,,,,True,0,1
1,lindabarton@example.net,78,Gregory,Ray,1,True,False,1,False,"[1, 3]",,,,,,True,0,1
1,sarahjohnson@example.net,61,Rodney,Spencer,1,True,False,1,False,"[5, 1, 2]",,,,,,True,0,1
2,fharris@example.org,69,Edward,Davis,1,True,False,1,False,"[5, 1, 2, 3]",,,,,,True,0,1
2,theresa32@example.com,79,Stephen,Smith,1,True,False,1,False,"[5, 1, 3]",,,,,,True,0,1
2,millereduardo@example.org,73,Crystal,Perez,1,True,False,1,False,"[5, 1, 2, 3]",,,,,,True,0,1
2,laurie75@example.org,68,Valerie,Martin,1,True,False,1,False,"[5, 1, 2]",,,,,,True,0,1
3,karenmoses@example.net,71,Michael,Fisher,1,True,False,1,False,"[5, 1, 4]",,,,,,True,0,1
3,urowland@example.org,70,Edward,Murray,1,True,False,1,False,"[5, 1, 4]",,,,,,True,0,1
3,martin83@example.net,60,Amanda,Bowen,1,True,False,1,False,"[3, 4]",,,,,,True,0,1
4,emily75@example.org,77,Jennifer,Murphy,1,True,False,1,False,"[1, 3, 4]",,,,,,True,0,1
4,kramerfrank@example.net,65,Vanessa,Simpson,1,True,False,1,False,"[1, 2, 3, 4]",,,,,,True,0,1
4,gillheather@example.org,93,Crystal,Patterson,1,True,False,1,False,"[5, 3, 4]",,,,,,True,3,1
4,kanderson@example.com,96,Renee,Walsh,1,True,False,1,False,"[5, 1, 3, 4]",,,,,,True,3,1
