Email Address;SID;First name;Last name;What year are you;Would you like to be part of a course study group?;Do you have an existing study group of size 2-6 in mind;timezone offset;Would you like to attend the same discussion;discussion section times;2nd Group Member Berkeley Student Email;3rd Group Member Berkeley Student Email;4th Group Member Berkeley Student Email;5th Group Member Berkeley Student Email;6th Group Member Berkeley Student Email;Will you be on the Berkeley campus;Which of these options best describes your race?;How do you self-identify?
christopher40@example.com;13;Pamela;Mullen;AlYearLevel.Graduate;Yes;No;-7;Yes;1-2 M/W,2-3 M/W,10-11 M/W,1-2 M/W;;;;;;Yes;Multiple races;Female
louis80@example.net;50;Marissa;Olsen;AlYearLevel.Junior;Yes;No;-7;Yes;2-3 M/W,1-2 M/W,2-3 M/W,4-5 M/W;;;;;;Yes;Middle-Eastern;Male
nichole81@example.org;24;Nicholas;Davis;AlYearLevel.Senior;Yes;No;-7;Yes;4-5 M/W,10-11 M/W,3-4 M/W,4-5 M/W;;;;;;Yes;Hispanic;Female
whitneycole@example.org;86;Vanessa;Thompson;AlYearLevel.Freshman;Yes;No;-7;Yes;2-3 M/W,2-3 M/W,3-4 M/W;;;;;;Yes;White;Male
kevin09@example.org;96;Jade;Meyer;AlYearLevel.Freshman;Yes;No;-7;Yes;3-4 M/W,4-5 M/W,1-2 M/W;;;;;;Yes;Black/African American;Male
phillipsrobert@example.com;43;Daniel;Dougherty;AlYearLevel.Junior;Yes;No;-7;Yes;2-3 M/W,4-5 M/W,4-5 M/W,2-3 M/W;;;;;;Yes;Asian;Male
wongkathryn@example.com;68;Nicholas;Robinson;AlYearLevel.Sophomore;Yes;No;-7;Yes;11-12 M/W,11-12 M/W,3-4 M/W,10-11 M/W,3-4 M/W;;;;;;Yes;White;Male
wolfbryan@example.org;49;Vanessa;Christian;AlYearLevel.Junior;Yes;No;-7;Yes;11-12 M/W,2-3 M/W,3-4 M/W,1-2 M/W,4-5 M/W;;;;;;Yes;Asian;Male
cmiller@example.net;71;Sarah;Richardson;AlYearLevel.Sophomore;Yes;No;-7;Yes;2-3 M/W,10-11 M/W,11-12 M/W;;;;;;Yes;White;Male
dhayes@example.com;87;Juan;Evans;AlYearLevel.Freshman;Yes;No;-7;Yes;2-3 M/W,10-11 M/W,1-2 M/W;;;;;;Yes;White;Male
michellevillegas@example.org;69;Michael;Hunter;AlYearLevel.Sophomore;Yes;No;-7;Yes;4-5 M/W,10-11 M/W,1-2 M/W,2-3 M/W,10-11 M/W;;;;;;Yes;White;Male
hmitchell@example.com;44;Nathan;Hernandez;AlYearLevel.Junior;Yes;No;-7;Yes;4-5 M/W,4-5 M/W,10-11 M/W,3-4 M/W;;;;;;Yes;Asian;Male
ryanbaker@example.org;22;Angel;Ramos;AlYearLevel.Senior;Yes;No;-7;Yes;3-4 M/W,10-11 M/W,11-12 M/W;;;;;;Yes;Hispanic;Female
jsmith@example.com;38;Brandon;Stanton;AlYearLevel.Senior;Yes;No;-7;Yes;10-11 M/W,2-3 M/W,10-11 M/W,11-12 M/W;;;;;;Yes;Asian;Male
zshannon@example.com;2;Kathy;Carr;AlYearLevel.Graduate;Yes;No;-7;Yes;11-12 M/W,11-12 M/W,10-11 M/W,10-11 M/W,1-2 M/W;;;;;;Yes;Multiple races;Other
dannyrobertson@example.com;91;Edwin;Riley;AlYearLevel.Freshman;Yes;No;-7;Yes;3-4 M/W,4-5 M/W,10-11 M/W,2-3 M/W;;;;;;Yes;Black/African American;Male
stevenslonnie@example.com;4;Katrina;Huynh;AlYearLevel.Graduate;Yes;No;-7;Yes;4-5 M/W,4-5 M/W,2-3 M/W;;;;;;Yes;Multiple races;Other
zalvarez@example.com;33;Michael;Avery;AlYearLevel.Senior;Yes;No;-7;Yes;3-4 M/W,1-2 M/W,4-5 M/W;;;;;;Yes;Asian;Male
cwilliams@example.org;0;Kimberly;Rodriguez;AlYearLevel.Graduate;Yes;No;-7;Yes;2-3 M/W,3-4 M/W,11-12 M/W;;;;;;Yes;Multiple races;Other
james53@example.net;62;Mr.;Brian;AlYearLevel.Sophomore;Yes;No;-7;Yes;4-5 M/W,4-5 M/W,2-3 M/W;;;;;;Yes;White;Male
landrews@example.com;73;Sharon;Guerrero;AlYearLevel.Sophomore;Yes;No;-7;Yes;10-11 M/W,4-5 M/W,2-3 M/W,3-4 M/W;;;;;;Yes;White;Male
