Email Address;SID;First name;Last name;What year are you;Would you like to be part of a course study group?;Do you have an existing study group of size 2-6 in mind;timezone offset;Would you like to attend the same discussion;discussion section times;2nd Group Member Berkeley Student Email;3rd Group Member Berkeley Student Email;4th Group Member Berkeley Student Email;5th Group Member Berkeley Student Email;6th Group Member Berkeley Student Email;Will you be on the Berkeley campus;Which of these options best describes your race?;How do you self-identify?
dday@example.com;57;Jennifer;Martinez;AlYearLevel.Junior;Yes;No;-7;Yes;10-11 M/W,3-4 M/W,3-4 M/W,2-3 M/W,11-12 M/W;;;;;;Yes;Middle-Eastern;Male
xjackson@example.org;16;Calvin;Stephens;AlYearLevel.Graduate;Yes;No;-7;Yes;1-2 M/W,1-2 M/W,10-11 M/W,3-4 M/W,4-5 M/W;;;;;;Yes;Multiple races;Female
lacey60@example.com;86;Ashley;Stevens;AlYearLevel.Freshman;Yes;No;-7;Yes;10-11 M/W,3-4 M/W,1-2 M/W,4-5 M/W,3-4 M/W;;;;;;Yes;White;Male
christine96@example.org;44;Dr.;Sarah;AlYearLevel.Junior;Yes;No;-7;Yes;1-2 M/W,2-3 M/W,1-2 M/W,11-12 M/W,2-3 M/W;;;;;;Yes;Asian;Male
sdaniels@example.com;51;Anthony;Hutchinson;AlYearLevel.Junior;Yes;No;-7;Yes;2-3 M/W,3-4 M/W,4-5 M/W;;;;;;Yes;Middle-Eastern;Male
johnbautista@example.net;94;Stephanie;Torres;AlYearLevel.Freshman;Yes;No;-7;Yes;3-4 M/W,1-2 M/W,3-4 M/W;;;;;;Yes;Black/African American;Male
roblesbruce@example.com;35;Patrick;Walton;AlYearLevel.Senior;Yes;No;-7;Yes;1-2 M/W,4-5 M/W,11-12 M/W;;;;;;Yes;Asian;Male
batesapril@example.net;14;Kenneth;Lucas;AlYearLevel.Graduate;Yes;No;-7;Yes;1-2 M/W,2-3 M/W,3-4 M/W,4-5 M/W;;;;;;Yes;Multiple races;Female
lcain@example.com;21;William;Burke;AlYearLevel.Senior;Yes;No;-7;Yes;1-2 M/W,11-12 M/W,4-5 M/W;;;;;;Yes;Hispanic;Female
xsmith@example.com;0;Kaitlyn;Holmes;AlYearLevel.Graduate;Yes;No;-7;Yes;1-2 M/W,1-2 M/W,10-11 M/W,1-2 M/W,10-11 M/W;;;;;;Yes;Multiple races;Other
ohodge@example.net;39;Thomas;Larson;AlYearLevel.Senior;Yes;No;-7;Yes;10-11 M/W,3-4 M/W,2-3 M/W;;;;;;Yes;Asian;Male
megan77@example.org;65;Mrs.;Annette;AlYearLevel.Sophomore;Yes;No;-7;Yes;4-5 M/W,1-2 M/W,2-3 M/W,3-4 M/W;;;;;;Yes;White;Male
bgalvan@example.net;31;Ana;Perez;AlYearLevel.Senior;Yes;No;-7;Yes;11-12 M/W,4-5 M/W,1-2 M/W,10-11 M/W;;;;;;Yes;Asian;Male
smolina@example.org;6;Elizabeth;Powers;AlYearLevel.Graduate;Yes;No;-7;Yes;11-12 M/W,4-5 M/W,10-11 M/W,10-11 M/W;;;;;;Yes;Multiple races;Other
wjackson@example.com;11;Brianna;Hill;AlYearLevel.Graduate;Yes;No;-7;Yes;11-12 M/W,2-3 M/W,2-3 M/W,10-11 M/W;;;;;;Yes;Multiple races;Female
courtney91@example.net;47;Todd;Anderson;AlYearLevel.Junior;Yes;No;-7;Yes;10-11 M/W,11-12 M/W,4-5 M/W,3-4 M/W,1-2 M/W;;;;;;Yes;Asian;Male
