group_num,email,sid,first_name,last_name,year,want_group,is_existing,timezone,disc_with_group,disc_times_options,remote,race,gender
0,roachdavid@example.net,9,Christina,Williams,1,True,False,1,False,[1],True,0,1
0,antonio04@example.com,11,Jill,Brandt,1,True,False,1,False,[1],True,0,1
0,tinamcmahon@example.org,15,Jason,Gomez,1,True,False,1,False,[1],True,0,1
0,christopher44@example.com,13,Elizabeth,Smith,1,True,False,1,False,[1],True,0,1
0,jjuarez@example.org,14,Brian,Adkins,1,True,False,1,False,[1],True,0,1
0,grimesmegan@example.org,10,Craig,Cunningham,1,True,False,1,False,[1],True,0,1
1,george85@example.org,19,Dustin,Gilbert,1,True,False,1,False,[1],True,3,1
1,jordanmary@example.net,18,Jennifer,Johns,1,True,False,1,False,[1],True,3,1
1,sdavis@example.net,17,Jennifer,Williams,1,True,False,1,False,[1],True,3,1
1,kmartin@example.com,16,Michael,Watkins,1,True,False,1,False,[1],True,0,1
1,fflores@example.org,12,Wanda,Grimes,1,True,False,1,False,[1],True,0,1
2,hannah06@example.net,4,Manuel,Stevens,3,True,False,1,False,[1],True,0,1
2,jennifer67@example.net,2,Michael,Villarreal,3,True,False,1,False,[1],True,0,0
2,jefferycontreras@example.org,1,Aaron,Ray,3,True,False,1,False,[1],True,0,0
2,olane@example.org,3,Alyssa,Miller,3,True,False,1,False,[1],True,0,0
3,jacobsonmegan@example.com,5,Anthony,Robinson,2,True,False,1,False,[1],True,0,1
3,mariatodd@example.org,6,Daniel,Kim,2,True,False,1,False,[1],True,0,1
3,harrismichelle@example.org,7,Victoria,Wilson,2,True,False,1,False,[1],True,0,1
3,yjones@example.org,8,Shawn,Stevenson,2,True,False,1,False,[1],True,0,1
4,crystaldavis@example.net,0,Steven,Curtis,4,True,False,1,False,[1],True,0,0
