group_num,email,sid,first_name,last_name,year,want_group,is_existing,timezone,disc_with_group,disc_times_options,remote,race,gender
0,kevin64@example.org,19,Tyler,Rivera,1,True,False,1,False,[1],True,3,1
0,robinsonwilliam@example.net,17,Karen,Landry,1,True,False,1,False,[1],True,3,1
0,crystal32@example.com,18,Deborah,Campbell,1,True,False,1,False,[1],True,3,1
1,carlaharris@example.com,12,Daniel,Jones,1,True,False,1,False,[1],True,0,1
1,christian92@example.net,14,Luis,Dixon,1,True,False,1,False,[1],True,0,1
1,drodriguez@example.org,15,Amanda,Walker,1,True,False,1,False,[1],True,0,1
1,jeffreyweeks@example.org,9,Brandon,Castro,1,True,False,1,False,[1],True,0,1
2,cjohnson@example.net,11,Colin,Henry,1,True,False,1,False,[1],True,0,1
2,lbush@example.net,13,Dawn,Herrera,1,True,False,1,False,[1],True,0,1
2,heidi31@example.net,10,Miss,Michele,1,True,False,1,False,[1],True,0,1
2,eric67@example.org,16,Joseph,Singh,1,True,False,1,False,[1],True,0,1
3,alexis15@example.org,8,Paul,Walker,2,True,False,1,False,[1],True,0,1
3,daniellesilva@example.com,5,Thomas,Hicks,2,True,False,1,False,[1],True,0,1
3,fadams@example.net,7,Anthony,Carlson,2,True,False,1,False,[1],True,0,1
3,karenmitchell@example.org,6,David,Craig,2,True,False,1,False,[1],True,0,1
4,christina65@example.org,4,Jessica,Bonilla,3,True,False,1,False,[1],True,0,1
4,kimberly81@example.com,1,Kenneth,Hoover,3,True,False,1,False,[1],True,0,0
4,keithholden@example.org,2,Richard,Lee,3,True,False,1,False,[1],True,0,0
4,duncanmatthew@example.org,3,Andrew,Smith,3,True,False,1,False,[1],True,0,0
5,michelleaguirre@example.org,0,Robert,Reynolds,4,True,False,1,False,[1],True,0,0
